Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,% del S&P500
ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753,-0.21,31.17,21.755,12123300000,1517000000.0,0.94214815,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC,0.04875468963594159
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.4807138,2.54,70.55,53.63,11968488290,888000000.0,1.9400215,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG,0.04813210363435296
AIZ,Assurant Inc,Financials,85.16,33.27,2.5313594,9.08,106.985,85.91,4653993594,0.0,0.9821866,1.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,0.01871635720003055
T,AT&T Inc,Telecommunication Services,35.57,12.14,5.4156513,4.76,42.7,32.55,226713270000,49653000000.0,1.4083152,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T,0.9117430992551061
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,0.0,-2.61,131.1,81.75,24348294504,-378100000.0,16.50682,224.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK,0.09791835075491181
ADP,Automatic Data Processing,Information Technology,108.25,29.34,2.2190912,3.85,125.24,95.5,50337702249,2767400000.0,4.0483294,12.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP,0.20243655194018412
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,0.0,44.09,797.89,491.13,19922021415,2347304000.0,1.8510429,136.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO,0.08011778731936905
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430,1331579000.0,10.251216,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,0.08789761751857059
AVY,Avery Dennison Corp,Materials,110.77,22.11,1.5682175,3.11,123.67,78.471,10104814319,831200000.0,1.5206499,8.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY,0.04063720983161874
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,2.4991322,-0.31,57.73,28.03,32995712852,285000000.0,1.9390045,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE,0.1326945418669759
BLL,Ball Corp,Materials,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518,1317000000.0,1.5696399,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL,0.05536771181934017
